FileName,FirstLine,USCAct01,USCAct02,USCAct03,USCAct04,USCAct05,USCAct06,USCAct07,USCAct08,USCAct09,USCAct10,USCAct11,USCAct12,USCAct13,USCAct14,USCAct15,USCAct16,USCAct17,USCAct18,USCAct19,USCAct20,USCAct21,USCAct22,USCAct23,USCAct24,USCAct25,USCAct26
CFR-2015/title-1/CFR-2015-title1-vol1-part11.xml,15—SERVICES TO FEDERAL AGENCIES</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part10.xml,12—OFFICIAL DISTRIBUTION WITHIN FEDERAL GOVERNMENT</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part14.xml,18—PREPARATION AND TRANSMITTAL OF DOCUMENTS GENERALLY</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part15.xml,19—EXECUTIVE ORDERS AND PRESIDENTIAL PROCLAMATIONS</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part17.xml,21—PREPARATION OF DOCUMENTS SUBJECT TO CODIFICATION</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part16.xml,20—HANDLING OF THE UNITED STATES GOVERNMENT MANUAL STATEMENTS</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part26.xml,500—ENFORCEMENT OF NONDISCRIMINATION ON THE BASIS OF HANDICAP IN PROGRAMS OR ACTIVITIES CONDUCTED BY THE NATIONAL COMMISSION FOR EMPLOYMENT POLICY</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part18.xml,22—PREPARATION OF NOTICES AND PROPOSED RULES</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part24.xml,456—NATIONAL CAPITAL PLANNING COMMISSION FREEDOM OF INFORMATION ACT</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part25.xml,457—ENFORCEMENT OF NONDISCRIMINATION ON THE BASIS OF HANDICAP IN PROGRAMS OR ACTIVITIES CONDUCTED BY THE NATIONAL CAPITAL PLANNING COMMISSION</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part19.xml,51—INCORPORATION BY REFERENCE</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part21.xml,304—DISCLOSURE OF RECORDS OR INFORMATION</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part20.xml,301—ORGANIZATION AND PURPOSE</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part22.xml,425—PRESIDENT'S COMMISSION ON WHITE HOUSE FELLOWSHIPS</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part23.xml,455—NATIONAL CAPITAL PLANNING COMMISSION (PRIVACY ACT REGULATIONS)</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part7.xml,9—THE UNITED STATES GOVERNMENT MANUAL</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part6.xml,8—CODE OF FEDERAL REGULATIONS</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part4.xml,5—GENERAL</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part5.xml,6—INDEXES AND ANCILLARIES</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part1.xml,1—DEFINITIONS</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part0.xml,"<?xml version=""1.0"" encoding=""UTF-8""?>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part2.xml,2—GENERAL INFORMATION</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR-2015/title-1/CFR-2015-title1-vol1-part3.xml,3—SERVICES TO THE PUBLIC</HD>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
